
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################

	### Tier 3 Agent 	#    -3.44 	###

	### jet2holiday  	#   -49.43 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  6100.21 	###

	### brawl_stars  	#  2924.18 	###

	### GigaBot      	#  2674.75 	###

	### sudo         	#  2482.84 	###

	### orange       	#  2256.87 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1798.95 	###

	### qwer         	#  1644.10 	###

	### HTandRX's Agent 	#   632.37 	###

	### 67 Random Search v2 	#   454.40 	###

	### RandomBot67  	#   365.01 	###

	### 67           	#   357.04 	###

	### jet2holiday  	#    17.14 	###

	### Tier 3 Agent 	#   -11.06 	###

	### NikhilxCamilo 	#  -222.92 	###

	### TA - Tier 1 Agent 	#  -368.62 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  4131.98 	###

	### 67 Random Search v2 	#  3432.72 	###

	### RandomBot67  	#  2904.93 	###

	### GigaBot      	#  2672.99 	###

	### jet2holiday  	#  2204.80 	###

	###              	#  1691.28 	###

	### HTandRX's Agent 	#  1604.40 	###

	### qwer         	#  1585.58 	###

	### brawl_stars  	#  1325.67 	###

	### 67           	#   796.26 	###

	### NikhilxCamilo 	#   350.72 	###

	### Tier 3 Agent 	#    -4.71 	###

	### TA - Dust II B Anchor (Tier 2) 	#  -130.42 	###

	### orange       	#  -520.76 	###

	### TA - Tier 1 Agent 	#  -835.20 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4628.43 	###

	### 67           	#  4540.94 	###

	### NikhilxCamilo 	#  3563.24 	###

	###              	#  2754.70 	###

	### brawl_stars  	#  2750.09 	###

	### jet2holiday  	#  2076.83 	###

	### 67 Random Search v2 	#  1813.96 	###

	### TA - Tier 1 Agent 	#  1794.54 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1619.70 	###

	### qwer         	#   919.59 	###

	### orange       	#   372.46 	###

	### sudo         	#   347.33 	###

	### GigaBot      	#    25.41 	###

	### RandomBot67  	#     0.00 	###

	### Tier 3 Agent 	#   -11.67 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4402.92 	###

	### sudo         	#  3604.18 	###

	### brawl_stars  	#  3247.61 	###

	### HTandRX's Agent 	#  2814.03 	###

	### 67           	#  2187.01 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1702.60 	###

	### RandomBot67  	#  1540.40 	###

	###              	#  1434.98 	###

	### GigaBot      	#  1338.69 	###

	### jet2holiday  	#   382.22 	###

	### 67 Random Search v2 	#    19.25 	###

	### Tier 3 Agent 	#    -4.36 	###

	### NikhilxCamilo 	#   -36.42 	###

	### TA - Tier 1 Agent 	# -1350.27 	###

	### orange       	# -3130.51 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  4950.19 	###

	### RandomBot67  	#  4580.82 	###

	### sudo         	#  4485.37 	###

	###              	#  2801.56 	###

	### qwer         	#  2781.00 	###

	### HTandRX's Agent 	#  2480.99 	###

	### brawl_stars  	#  2040.48 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1148.35 	###

	### GigaBot      	#   285.09 	###

	### jet2holiday  	#   150.17 	###

	### 67           	#   136.26 	###

	### Tier 3 Agent 	#    -6.04 	###

	### NikhilxCamilo 	#  -194.38 	###

	### orange       	#  -772.56 	###

	### TA - Tier 1 Agent 	# -1396.59 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  8079.49 	###

	### RandomBot67  	#  3100.97 	###

	### brawl_stars  	#  2540.33 	###

	### HTandRX's Agent 	#  1637.48 	###

	### jet2holiday  	#  1627.85 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1246.16 	###

	### qwer         	#  1175.84 	###

	### 67           	#   889.03 	###

	### GigaBot      	#   833.78 	###

	### 67 Random Search v2 	#   516.76 	###

	###              	#   335.11 	###

	### Tier 3 Agent 	#    -2.03 	###

	### NikhilxCamilo 	#  -130.49 	###

	### TA - Tier 1 Agent 	# -1267.78 	###

	### orange       	# -1690.18 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4869.52 	###

	### sudo         	#  3941.79 	###

	### brawl_stars  	#  3860.55 	###

	### RandomBot67  	#  3338.69 	###

	### qwer         	#  3220.02 	###

	###              	#  1836.43 	###

	### 67 Random Search v2 	#  1343.36 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1007.60 	###

	### orange       	#   731.10 	###

	### NikhilxCamilo 	#   707.89 	###

	### HTandRX's Agent 	#   299.10 	###

	### jet2holiday  	#     4.82 	###

	### 67           	#     0.00 	###

	### Tier 3 Agent 	#    -3.68 	###

	### TA - Tier 1 Agent 	# -1123.46 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  5461.69 	###

	### RandomBot67  	#  3912.46 	###

	### GigaBot      	#  2803.44 	###

	### HTandRX's Agent 	#  1770.87 	###

	### brawl_stars  	#  1573.59 	###

	### 67           	#  1511.94 	###

	### sudo         	#  1349.41 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1304.73 	###

	### Tier 3 Agent 	#  1275.01 	###

	### 67 Random Search v2 	#  1033.27 	###

	### jet2holiday  	#   943.83 	###

	### qwer         	#   492.79 	###

	### orange       	#   456.70 	###

	### NikhilxCamilo 	#   352.09 	###

	### TA - Tier 1 Agent 	#  -822.17 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  3625.45 	###

	### GigaBot      	#  2973.72 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2257.75 	###

	### HTandRX's Agent 	#  2165.58 	###

	### sudo         	#  1900.73 	###

	### jet2holiday  	#  1842.36 	###

	### TA - Tier 1 Agent 	#  1561.33 	###

	### RandomBot67  	#   878.88 	###

	### brawl_stars  	#   875.34 	###

	### qwer         	#   791.73 	###

	### NikhilxCamilo 	#   303.02 	###

	### 67           	#   192.80 	###

	###              	#   147.10 	###

	### Tier 3 Agent 	#    -4.80 	###

	### orange       	#  -487.03 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  3295.39 	###

	### 67           	#  2481.27 	###

	### RandomBot67  	#  2304.48 	###

	### HTandRX's Agent 	#  1764.25 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1381.73 	###

	### 67 Random Search v2 	#  1292.56 	###

	### qwer         	#   967.61 	###

	### GigaBot      	#   915.71 	###

	### orange       	#   697.01 	###

	### NikhilxCamilo 	#   592.77 	###

	### brawl_stars  	#   375.80 	###

	### jet2holiday  	#   263.65 	###

	### Tier 3 Agent 	#    -1.86 	###

	###              	#  -732.90 	###

	### TA - Tier 1 Agent 	# -1400.51 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4346.87 	###

	### RandomBot67  	#  2913.61 	###

	### HTandRX's Agent 	#  1990.14 	###

	###              	#  1971.57 	###

	### qwer         	#  1962.19 	###

	### sudo         	#  1872.61 	###

	### 67           	#  1552.42 	###

	### jet2holiday  	#  1414.24 	###

	### brawl_stars  	#  1104.59 	###

	### NikhilxCamilo 	#   791.71 	###

	### GigaBot      	#   777.70 	###

	### orange       	#   318.01 	###

	### 67 Random Search v2 	#    26.01 	###

	### Tier 3 Agent 	#    -6.92 	###

	### TA - Tier 1 Agent 	#  -780.25 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  3423.48 	###

	### GigaBot      	#  3336.67 	###

	###              	#  2903.99 	###

	### 67           	#  2063.12 	###

	### 67 Random Search v2 	#  1754.29 	###

	### RandomBot67  	#  1583.55 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1301.26 	###

	### jet2holiday  	#   972.51 	###

	### qwer         	#   956.27 	###

	### HTandRX's Agent 	#   907.50 	###

	### NikhilxCamilo 	#   800.90 	###

	### brawl_stars  	#    98.32 	###

	### Tier 3 Agent 	#    -5.38 	###

	### TA - Tier 1 Agent 	#   -74.95 	###

	### orange       	#  -251.29 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4616.65 	###

	### qwer         	#  3331.19 	###

	### RandomBot67  	#  2762.34 	###

	### sudo         	#  2453.84 	###

	### jet2holiday  	#  2125.00 	###

	### 67           	#  1910.90 	###

	### brawl_stars  	#  1787.20 	###

	### HTandRX's Agent 	#  1552.64 	###

	### TA - Tier 1 Agent 	#  1457.53 	###

	### GigaBot      	#  1131.37 	###

	### 67 Random Search v2 	#  1010.92 	###

	### Tier 3 Agent 	#   244.40 	###

	### TA - Dust II B Anchor (Tier 2) 	#    66.26 	###

	### NikhilxCamilo 	#    -8.01 	###

	### orange       	#  -655.46 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4415.28 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4332.93 	###

	### RandomBot67  	#  2080.03 	###

	### sudo         	#  1430.03 	###

	### GigaBot      	#  1234.67 	###

	### NikhilxCamilo 	#  1220.38 	###

	###              	#   817.99 	###

	### 67 Random Search v2 	#   595.37 	###

	### brawl_stars  	#   549.07 	###

	### 67           	#   249.25 	###

	### orange       	#   155.95 	###

	### jet2holiday  	#   150.62 	###

	### Tier 3 Agent 	#   -11.09 	###

	### HTandRX's Agent 	#   -68.51 	###

	### TA - Tier 1 Agent 	#  -811.50 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  4304.06 	###

	### HTandRX's Agent 	#  3563.39 	###

	### brawl_stars  	#  3114.86 	###

	###              	#  2762.78 	###

	### NikhilxCamilo 	#  2686.95 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2303.56 	###

	### TA - Tier 1 Agent 	#  1081.10 	###

	### GigaBot      	#   780.18 	###

	### 67 Random Search v2 	#   543.19 	###

	### orange       	#   436.31 	###

	### RandomBot67  	#   420.65 	###

	### sudo         	#   117.83 	###

	### 67           	#    49.21 	###

	### Tier 3 Agent 	#   -12.44 	###

	### qwer         	#  -971.90 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4567.60 	###

	### brawl_stars  	#  3103.79 	###

	### 67           	#  2652.43 	###

	### GigaBot      	#  2626.60 	###

	### jet2holiday  	#  2082.81 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1874.31 	###

	### RandomBot67  	#  1641.81 	###

	###              	#  1404.31 	###

	### 67 Random Search v2 	#  1165.96 	###

	### NikhilxCamilo 	#   263.73 	###

	### qwer         	#   188.80 	###

	### Tier 3 Agent 	#   -12.05 	###

	### sudo         	#  -344.55 	###

	### TA - Tier 1 Agent 	# -1186.54 	###

	### orange       	# -1336.51 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  2528.29 	###

	### brawl_stars  	#  2481.97 	###

	### 67           	#  2340.24 	###

	### 67 Random Search v2 	#  2318.35 	###

	### RandomBot67  	#  1656.00 	###

	###              	#  1527.64 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1512.25 	###

	### qwer         	#  1422.18 	###

	### jet2holiday  	#  1397.76 	###

	### GigaBot      	#  1337.58 	###

	### Tier 3 Agent 	#    -6.05 	###

	### sudo         	#   -63.47 	###

	### NikhilxCamilo 	#  -105.84 	###

	### orange       	#  -385.82 	###

	### TA - Tier 1 Agent 	#  -487.85 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4312.65 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3600.80 	###

	### sudo         	#  2816.57 	###

	### RandomBot67  	#  2564.39 	###

	### 67           	#  2321.76 	###

	### brawl_stars  	#  1677.78 	###

	### orange       	#  1649.33 	###

	### 67 Random Search v2 	#  1091.97 	###

	### NikhilxCamilo 	#   778.03 	###

	### qwer         	#   515.61 	###

	### GigaBot      	#   377.52 	###

	### HTandRX's Agent 	#    60.19 	###

	### Tier 3 Agent 	#    -6.22 	###

	### TA - Tier 1 Agent 	#   -85.02 	###

	### jet2holiday  	#  -146.75 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  5950.90 	###

	###              	#  5751.78 	###

	### qwer         	#  3283.44 	###

	### brawl_stars  	#  2836.37 	###

	### orange       	#  2075.85 	###

	### jet2holiday  	#  1438.54 	###

	### NikhilxCamilo 	#  1372.70 	###

	### sudo         	#  1242.45 	###

	### HTandRX's Agent 	#   810.03 	###

	### TA - Tier 1 Agent 	#   581.96 	###

	### TA - Dust II B Anchor (Tier 2) 	#   538.71 	###

	### 67           	#   524.83 	###

	### GigaBot      	#   203.63 	###

	### RandomBot67  	#   134.62 	###

	### Tier 3 Agent 	#    32.94 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4471.91 	###

	###              	#  3630.08 	###

	### GigaBot      	#  3139.79 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2958.02 	###

	### qwer         	#  2511.81 	###

	### 67 Random Search v2 	#  1797.65 	###

	### sudo         	#  1731.32 	###

	### brawl_stars  	#  1107.63 	###

	### RandomBot67  	#   757.21 	###

	### NikhilxCamilo 	#   238.71 	###

	### 67           	#   220.95 	###

	### Tier 3 Agent 	#    -4.43 	###

	### jet2holiday  	#   -83.22 	###

	### orange       	#  -509.50 	###

	### TA - Tier 1 Agent 	# -1283.40 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3688.24 	###

	### qwer         	#  2933.68 	###

	### GigaBot      	#  1911.52 	###

	### brawl_stars  	#  1894.62 	###

	### 67 Random Search v2 	#  1746.52 	###

	### sudo         	#  1582.68 	###

	### NikhilxCamilo 	#  1250.17 	###

	### RandomBot67  	#  1175.75 	###

	### TA - Dust II B Anchor (Tier 2) 	#   684.75 	###

	### 67           	#   455.36 	###

	### TA - Tier 1 Agent 	#   367.46 	###

	### HTandRX's Agent 	#    13.07 	###

	### Tier 3 Agent 	#    -5.77 	###

	### jet2holiday  	#   -65.15 	###

	### orange       	#  -637.16 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  5321.45 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2884.73 	###

	### NikhilxCamilo 	#  2864.21 	###

	### jet2holiday  	#  2627.49 	###

	### qwer         	#  2350.06 	###

	### sudo         	#  1939.60 	###

	### 67 Random Search v2 	#  1693.43 	###

	### brawl_stars  	#  1397.93 	###

	### HTandRX's Agent 	#  1209.24 	###

	### RandomBot67  	#   749.87 	###

	### TA - Tier 1 Agent 	#   652.07 	###

	### GigaBot      	#   575.89 	###

	### Tier 3 Agent 	#     9.21 	###

	###              	#   -47.80 	###

	### orange       	# -1319.73 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  7205.50 	###

	### 67 Random Search v2 	#  3332.37 	###

	### qwer         	#  2631.63 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2397.42 	###

	### GigaBot      	#  2093.68 	###

	###              	#  1712.14 	###

	### jet2holiday  	#  1611.91 	###

	### sudo         	#  1202.30 	###

	### RandomBot67  	#   929.10 	###
